status,event,n,count,unit,runtime_ns,enabled_pct,metric_value,metric_unit
ok,cycles:u,128,46014027,,14094009,100.00,,

ok,instructions:u,128,56109050,,14094009,100.00,1.22,insn per cycle

ok,cache-references:u,128,21728,,14094009,100.00,,

ok,cache-misses:u,128,10291,,14094009,100.00,47.363,of all cache refs

ok,cycles:u,256,445857827,,122795991,100.00,,

ok,instructions:u,256,414622762,,122795991,100.00,0.93,insn per cycle

ok,cache-references:u,256,41783,,122795991,100.00,,

ok,cache-misses:u,256,7142,,122795991,100.00,17.093,of all cache refs

ok,cycles:u,512,6046762043,,1643912677,100.00,,

ok,instructions:u,512,3257863257,,1643912677,100.00,0.54,insn per cycle

ok,cache-references:u,512,421681720,,1643912677,100.00,,

ok,cache-misses:u,512,69390,,1643912677,100.00,0.016,of all cache refs

ok,cycles:u,1000,12298409226,,3342730560,100.00,,

ok,instructions:u,1000,24128956765,,3342730560,100.00,1.96,insn per cycle

ok,cache-references:u,1000,328783183,,3342730560,100.00,,

ok,cache-misses:u,1000,284711,,3342730560,100.00,0.087,of all cache refs

ok,cycles:u,1024,61962775213,,16820344243,100.00,,

ok,instructions:u,1024,25904834760,,16820344243,100.00,0.42,insn per cycle

ok,cache-references:u,1024,5574204764,,16820344243,100.00,,

ok,cache-misses:u,1024,113221,,16820344243,100.00,0.002,of all cache refs

ok,cycles:u,1536,208534925193,,56598804455,100.00,,

ok,instructions:u,1536,87288580794,,56598804455,100.00,0.42,insn per cycle

ok,cache-references:u,1536,19077599013,,56598804455,100.00,,

ok,cache-misses:u,1536,2789273,,56598804455,100.00,0.015,of all cache refs

ok,cycles:u,1792,315826801050,,85732067588,100.00,,

ok,instructions:u,1792,138538013336,,85732067588,100.00,0.44,insn per cycle

ok,cache-references:u,1792,28610740870,,85732067588,100.00,,

ok,cache-misses:u,1792,4346264,,85732067588,100.00,0.015,of all cache refs

ok,cycles:u,2048,504841774252,,137002198976,100.00,,

ok,instructions:u,2048,206716151644,,137002198976,100.00,0.41,insn per cycle

ok,cache-references:u,2048,45593109562,,137002198976,100.00,,

ok,cache-misses:u,2048,14085739,,137002198976,100.00,0.031,of all cache refs

ok,cycles:u,2304,688122602676,,186806475775,100.00,,

ok,instructions:u,2304,294238984075,,186806475775,100.00,0.43,insn per cycle

ok,cache-references:u,2304,63184091321,,186806475775,100.00,,

ok,cache-misses:u,2304,60014031,,186806475775,100.00,0.095,of all cache refs

