sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
coarse,cholesky_v0_baseline,corr,1,1,static,0,7,1,0.000000027,0.000000027,0.000000027,0.000000028,0.333333333,0.012345679,8.000000000,0.000007629
coarse,cholesky_v0_baseline,corr,2,1,static,0,7,1,0.000000044,0.000000044,0.000000047,0.000000053,2.666666667,0.060606061,32.000000000,0.000030518
coarse,cholesky_v0_baseline,corr,4,1,static,0,7,1,0.000000088,0.000000090,0.000000103,0.000000160,21.333333333,0.237037037,128.000000000,0.000122070
coarse,cholesky_v0_baseline,corr,8,1,static,0,7,1,0.000000246,0.000000247,0.000000299,0.000000515,170.666666667,0.690958165,512.000000000,0.000488281
coarse,cholesky_v0_baseline,corr,10,1,static,0,7,1,0.000000390,0.000000393,0.000000411,0.000000493,333.333333333,0.848176421,800.000000000,0.000762939
coarse,cholesky_v0_baseline,corr,16,1,static,0,7,1,0.000001317,0.000001344,0.000001382,0.000001624,1365.333333333,1.015873016,2048.000000000,0.001953125
coarse,cholesky_v0_baseline,corr,32,1,static,0,7,1,0.000009313,0.000009362,0.000009518,0.000010004,10922.666666667,1.166702272,8192.000000000,0.007812500
coarse,cholesky_v0_baseline,corr,64,1,static,0,7,1,0.000074418,0.000074560,0.000075269,0.000079629,87381.333333333,1.171959943,32768.000000000,0.031250000
coarse,cholesky_v0_baseline,corr,100,1,static,0,7,1,0.000261629,0.000282004,0.000282573,0.000293646,333333.333333333,1.182016331,80000.000000000,0.076293945
coarse,cholesky_v0_baseline,corr,124,1,static,0,7,1,0.000465999,0.000475170,0.000485233,0.000515901,635541.333333333,1.337503069,123008.000000000,0.117309570
coarse,cholesky_v0_baseline,corr,127,1,static,0,7,1,0.000441777,0.000469164,0.000464193,0.000485453,682794.333333333,1.455342553,129032.000000000,0.123054504
coarse,cholesky_v0_baseline,corr,128,1,static,0,7,1,0.001827249,0.001837641,0.001905466,0.002063084,699050.666666667,0.380406547,131072.000000000,0.125000000
coarse,cholesky_v0_baseline,corr,129,1,static,0,7,1,0.000425275,0.000425768,0.000429582,0.000438218,715563.000000000,1.680640631,133128.000000000,0.126960754
coarse,cholesky_v0_baseline,corr,255,1,static,0,7,1,0.003841401,0.003864068,0.003862302,0.003877206,5527125.000000000,1.430390200,520200.000000000,0.496101379
coarse,cholesky_v0_baseline,corr,256,1,static,0,7,1,0.018083319,0.019121286,0.019694807,0.022429980,5592405.333333333,0.292470147,524288.000000000,0.500000000
coarse,cholesky_v0_baseline,corr,257,1,static,0,7,1,0.004067395,0.004082039,0.004128132,0.004395706,5658197.666666667,1.386120433,528392.000000000,0.503913879
coarse,cholesky_v0_baseline,corr,511,1,static,0,7,1,0.054220492,0.054580342,0.055897994,0.061606660,44477610.333333336,0.814901642,2088968.000000000,1.992195129
