status,event,n,count,unit,runtime_ns,enabled_pct,metric_value,metric_unit
ok,cycles:u,128,11748259,,15150312,100.00,,

ok,instructions:u,128,36747537,,15150312,100.00,3.13,insn per cycle

ok,cache-references:u,128,24829,,15150312,100.00,,

ok,cache-misses:u,128,9859,,15150312,100.00,39.708,of all cache refs

ok,cycles:u,256,77631655,,41590736,100.00,,

ok,instructions:u,256,267971410,,41590736,100.00,3.45,insn per cycle

ok,cache-references:u,256,86245,,41590736,100.00,,

ok,cache-misses:u,256,11748,,41590736,100.00,13.622,of all cache refs

ok,cycles:u,512,626516698,,210701712,100.00,,

ok,instructions:u,512,2093073719,,210701712,100.00,3.34,insn per cycle

ok,cache-references:u,512,43895568,,210701712,100.00,,

ok,cache-misses:u,512,32983,,210701712,100.00,0.075,of all cache refs

ok,cycles:u,1000,4778854836,,1354506293,100.00,,

ok,instructions:u,1000,15459474755,,1354506293,100.00,3.23,insn per cycle

ok,cache-references:u,1000,383771713,,1354506293,100.00,,

ok,cache-misses:u,1000,1004782,,1354506293,100.00,0.262,of all cache refs

ok,cycles:u,1024,5261494243,,1478700688,100.00,,

ok,instructions:u,1024,16596171808,,1478700688,100.00,3.15,insn per cycle

ok,cache-references:u,1024,424518960,,1478700688,100.00,,

ok,cache-misses:u,1024,963363,,1478700688,100.00,0.227,of all cache refs

