sweep,label,generator,n,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
coarse,cholesky_v2_serial_blocked,corr,1,7,1,0.000000227,0.000000255,0.000000263,0.000000306,0.333333333,0.001307190,8.000000000,0.000007629
coarse,cholesky_v2_serial_blocked,corr,2,7,1,0.000000271,0.000000274,0.000000282,0.000000305,2.666666667,0.009732360,32.000000000,0.000030518
coarse,cholesky_v2_serial_blocked,corr,4,7,1,0.000000424,0.000000441,0.000000450,0.000000496,21.333333333,0.048374906,128.000000000,0.000122070
coarse,cholesky_v2_serial_blocked,corr,8,7,1,0.000001078,0.000001101,0.000001199,0.000001514,170.666666667,0.155010596,512.000000000,0.000488281
coarse,cholesky_v2_serial_blocked,corr,10,7,1,0.000001623,0.000001644,0.000001678,0.000001874,333.333333333,0.202757502,800.000000000,0.000762939
coarse,cholesky_v2_serial_blocked,corr,16,7,1,0.000004402,0.000004423,0.000004543,0.000005146,1365.333333333,0.308689426,2048.000000000,0.001953125
coarse,cholesky_v2_serial_blocked,corr,32,7,1,0.000024738,0.000024968,0.000026820,0.000036977,10922.666666667,0.437466624,8192.000000000,0.007812500
coarse,cholesky_v2_serial_blocked,corr,64,7,1,0.000111111,0.000111407,0.000112899,0.000122101,87381.333333333,0.784343294,32768.000000000,0.031250000
coarse,cholesky_v2_serial_blocked,corr,100,7,1,0.000282271,0.000290270,0.000307646,0.000367306,333333.333333333,1.148356128,80000.000000000,0.076293945
coarse,cholesky_v2_serial_blocked,corr,124,7,1,0.000425629,0.000458781,0.000466479,0.000518406,635541.333333333,1.385282593,123008.000000000,0.117309570
coarse,cholesky_v2_serial_blocked,corr,127,7,1,0.000398864,0.000399125,0.000411249,0.000473940,682794.333333333,1.710728051,129032.000000000,0.123054504
coarse,cholesky_v2_serial_blocked,corr,128,7,1,0.000362300,0.000407970,0.000399112,0.000422472,699050.666666667,1.713485469,131072.000000000,0.125000000
coarse,cholesky_v2_serial_blocked,corr,129,7,1,0.000370800,0.000370920,0.000374225,0.000383951,715563.000000000,1.929157231,133128.000000000,0.126960754
coarse,cholesky_v2_serial_blocked,corr,255,7,1,0.001522045,0.001748145,0.001755129,0.002049626,5527125.000000000,3.161708554,520200.000000000,0.496101379
coarse,cholesky_v2_serial_blocked,corr,256,7,1,0.001280750,0.001321262,0.001346860,0.001449127,5592405.333333333,4.232624062,524288.000000000,0.500000000
coarse,cholesky_v2_serial_blocked,corr,257,7,1,0.001540901,0.001548534,0.001546641,0.001549475,5658197.666666666,3.653905995,528392.000000000,0.503913879
coarse,cholesky_v2_serial_blocked,corr,511,7,1,0.009466121,0.011124671,0.010622307,0.011520611,44477610.333333328,3.998105682,2088968.000000000,1.992195129
coarse,cholesky_v2_serial_blocked,corr,512,7,1,0.009809630,0.009885957,0.010114765,0.011287252,44739242.666666664,4.525534823,2097152.000000000,2.000000000
coarse,cholesky_v2_serial_blocked,corr,513,7,1,0.009531648,0.010114024,0.010187155,0.011198923,45001899.000000000,4.449455429,2105352.000000000,2.007820129
coarse,cholesky_v2_serial_blocked,corr,1000,7,1,0.065212142,0.065576053,0.065753502,0.066810558,333333333.333333313,5.083156398,8000000.000000000,7.629394531
coarse,cholesky_v2_serial_blocked,corr,1024,7,1,0.073388057,0.073944043,0.073896467,0.074161106,357913941.333333313,4.840335026,8388608.000000000,8.000000000
fine,cholesky_v2_serial_blocked,corr,992,7,1,0.063833342,0.063931025,0.064007010,0.064412002,325397162.666666627,5.089816136,7872512.000000000,7.507812500
fine,cholesky_v2_serial_blocked,corr,1000,7,1,0.065838677,0.066275859,0.066275355,0.066985317,333333333.333333313,5.029483410,8000000.000000000,7.629394531
fine,cholesky_v2_serial_blocked,corr,1008,7,1,0.067066165,0.067338503,0.067316954,0.067406703,341397504.000000000,5.069870710,8128512.000000000,7.751953125
fine,cholesky_v2_serial_blocked,corr,1013,7,1,0.068253937,0.068343037,0.068394617,0.068562077,346503065.666666627,5.070056598,8209352.000000000,7.829048157
fine,cholesky_v2_serial_blocked,corr,1023,7,1,0.072262273,0.072320961,0.072328790,0.072388940,356866389.000000000,4.934480738,8372232.000000000,7.984382629
fine,cholesky_v2_serial_blocked,corr,1024,7,1,0.073197999,0.073227626,0.073232024,0.073291087,357913941.333333313,4.887690082,8388608.000000000,8.000000000
fine,cholesky_v2_serial_blocked,corr,1025,7,1,0.072679686,0.072734106,0.072849786,0.073140709,358963541.666666627,4.935284991,8405000.000000000,8.015632629
fine,cholesky_v2_serial_blocked,corr,1032,7,1,0.071960023,0.072047092,0.072037923,0.072145715,366368256.000000000,5.085122048,8520192.000000000,8.125488281
large,cholesky_v2_serial_blocked,corr,1152,7,1,0.100695966,0.100899079,0.100872464,0.100983074,509607936.000000000,5.050669848,10616832.000000000,10.125000000
large,cholesky_v2_serial_blocked,corr,1280,7,1,0.138609357,0.139394699,0.139310705,0.139811552,699050666.666666627,5.014901368,13107200.000000000,12.500000000
