status,event,n,count,unit,runtime_ns,enabled_pct,metric_value,metric_unit
ok,cycles:u,128,9479021,,4527701,100.00,,

ok,instructions:u,128,22339263,,4527701,100.00,2.36,insn per cycle

ok,cache-references:u,128,23562,,4527701,100.00,,

ok,cache-misses:u,128,10595,,4527701,100.00,44.966,of all cache refs

ok,cycles:u,256,50942566,,16280850,100.00,,

ok,instructions:u,256,133517567,,16280850,100.00,2.62,insn per cycle

ok,cache-references:u,256,57887,,16280850,100.00,,

ok,cache-misses:u,256,11661,,16280850,100.00,20.144,of all cache refs

ok,cycles:u,512,368742172,,104462148,100.00,,

ok,instructions:u,512,979348766,,104462148,100.00,2.66,insn per cycle

ok,cache-references:u,512,3114025,,104462148,100.00,,

ok,cache-misses:u,512,108048,,104462148,100.00,3.470,of all cache refs

ok,cycles:u,1000,2433104388,,668061196,100.00,,

ok,instructions:u,1000,7071838451,,668061196,100.00,2.91,insn per cycle

ok,cache-references:u,1000,12753234,,668061196,100.00,,

ok,cache-misses:u,1000,420081,,668061196,100.00,3.294,of all cache refs

ok,cycles:u,1024,2812279788,,770622425,100.00,,

ok,instructions:u,1024,7587907897,,770622425,100.00,2.70,insn per cycle

ok,cache-references:u,1024,64726548,,770622425,100.00,,

ok,cache-misses:u,1024,129865,,770622425,100.00,0.201,of all cache refs

ok,cycles:u,1536,9318951511,,2542966315,100.00,,

ok,instructions:u,1536,25384290166,,2542966315,100.00,2.72,insn per cycle

ok,cache-references:u,1536,214250962,,2542966315,100.00,,

ok,cache-misses:u,1536,3436690,,2542966315,100.00,1.604,of all cache refs

ok,cycles:u,1792,14663976846,,3996980250,100.00,,

ok,instructions:u,1792,40200119934,,3996980250,100.00,2.74,insn per cycle

ok,cache-references:u,1792,336664195,,3996980250,100.00,,

ok,cache-misses:u,1792,4175951,,3996980250,100.00,1.240,of all cache refs

ok,cycles:u,2048,22415980162,,6117245672,100.00,,

ok,instructions:u,2048,59886551773,,6117245672,100.00,2.67,insn per cycle

ok,cache-references:u,2048,642880134,,6117245672,100.00,,

ok,cache-misses:u,2048,8128715,,6117245672,100.00,1.264,of all cache refs

ok,cycles:u,2304,31062946447,,8474425537,100.00,,

ok,instructions:u,2304,85135960718,,8474425537,100.00,2.74,insn per cycle

ok,cache-references:u,2304,751196780,,8474425537,100.00,,

ok,cache-misses:u,2304,16297266,,8474425537,100.00,2.170,of all cache refs

