sweep,label,generator,n,requested_threads,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
coarse,cholesky_v3_openmp,corr,1,1,7,1,0.000001243,0.000001264,0.000001351,0.000001795,0.333333333,0.000263713,8.000000000,0.000007629
coarse,cholesky_v3_openmp,corr,2,1,7,1,0.000001070,0.000001172,0.000001168,0.000001308,2.666666667,0.002275313,32.000000000,0.000030518
coarse,cholesky_v3_openmp,corr,4,1,7,1,0.000001191,0.000001226,0.000001293,0.000001518,21.333333333,0.017400761,128.000000000,0.000122070
coarse,cholesky_v3_openmp,corr,8,1,7,1,0.000001653,0.000001747,0.000001787,0.000002120,170.666666667,0.097691280,512.000000000,0.000488281
coarse,cholesky_v3_openmp,corr,10,1,7,1,0.000001957,0.000002041,0.000002125,0.000002410,333.333333333,0.163318635,800.000000000,0.000762939
coarse,cholesky_v3_openmp,corr,16,1,7,1,0.000003857,0.000004009,0.000004109,0.000004599,1365.333333333,0.340567057,2048.000000000,0.001953125
coarse,cholesky_v3_openmp,corr,32,1,7,1,0.000019830,0.000019890,0.000020092,0.000021241,10922.666666667,0.549153679,8192.000000000,0.007812500
coarse,cholesky_v3_openmp,corr,64,1,7,1,0.000126759,0.000127177,0.000128419,0.000135325,87381.333333333,0.687084405,32768.000000000,0.031250000
coarse,cholesky_v3_openmp,corr,100,1,7,1,0.000437037,0.000438781,0.000445501,0.000465489,333333.333333333,0.759680418,80000.000000000,0.076293945
coarse,cholesky_v3_openmp,corr,124,1,7,1,0.000593182,0.000616920,0.000659864,0.000754935,635541.333333333,1.030184357,123008.000000000,0.117309570
coarse,cholesky_v3_openmp,corr,127,1,7,1,0.000480556,0.000538024,0.000530513,0.000547077,682794.333333333,1.269077835,129032.000000000,0.123054504
coarse,cholesky_v3_openmp,corr,128,1,7,1,0.000416658,0.000434773,0.000446718,0.000484816,699050.666666667,1.607852067,131072.000000000,0.125000000
coarse,cholesky_v3_openmp,corr,129,1,7,1,0.000382968,0.000405583,0.000407625,0.000438811,715563.000000000,1.764282527,133128.000000000,0.126960754
coarse,cholesky_v3_openmp,corr,255,1,7,1,0.001785593,0.002064760,0.002108765,0.002441319,5527125.000000000,2.676884965,520200.000000000,0.496101379
coarse,cholesky_v3_openmp,corr,256,1,7,1,0.001492912,0.001589242,0.001580807,0.001690525,5592405.333333333,3.518913629,524288.000000000,0.500000000
coarse,cholesky_v3_openmp,corr,257,1,7,1,0.001475641,0.001480296,0.001480725,0.001487738,5658197.666666667,3.822342063,528392.000000000,0.503913879
coarse,cholesky_v3_openmp,corr,511,1,7,1,0.011534395,0.011546492,0.011545224,0.011550004,44477610.333333336,3.852045308,2088968.000000000,1.992195129
coarse,cholesky_v3_openmp,corr,512,1,7,1,0.011821926,0.011828037,0.011827276,0.011829693,44739242.666666664,3.782474021,2097152.000000000,2.000000000
coarse,cholesky_v3_openmp,corr,513,1,7,1,0.011751567,0.011752788,0.011754756,0.011762666,45001899.000000000,3.829040309,2105352.000000000,2.007820129
coarse,cholesky_v3_openmp,corr,1000,1,7,1,0.080715693,0.080729303,0.080889936,0.081863860,333333333.333333313,4.129025285,8000000.000000000,7.629394531
coarse,cholesky_v3_openmp,corr,1024,1,7,1,0.092785028,0.092816774,0.092814381,0.092832528,357913941.333333313,3.856134251,8388608.000000000,8.000000000
fine,cholesky_v3_openmp,corr,992,1,7,1,0.078615986,0.078624928,0.078630144,0.078659960,325397162.666666687,4.138600453,7872512.000000000,7.507812500
fine,cholesky_v3_openmp,corr,1000,1,7,1,0.080565337,0.080574527,0.080576227,0.080590713,333333333.333333313,4.136956750,8000000.000000000,7.629394531
fine,cholesky_v3_openmp,corr,1008,1,7,1,0.082505228,0.082514652,0.082516696,0.082532978,341397504.000000000,4.137416758,8128512.000000000,7.751953125
fine,cholesky_v3_openmp,corr,1013,1,7,1,0.084402099,0.084425959,0.084425227,0.084441456,346503065.666666687,4.104224219,8209352.000000000,7.829048157
fine,cholesky_v3_openmp,corr,1023,1,7,1,0.090226202,0.090250346,0.090390608,0.091105037,356866389.000000000,3.954183057,8372232.000000000,7.984382629
fine,cholesky_v3_openmp,corr,1024,1,7,1,0.092724980,0.092751283,0.092749394,0.092785933,357913941.333333313,3.858857040,8388608.000000000,8.000000000
fine,cholesky_v3_openmp,corr,1025,1,7,1,0.091716736,0.091735969,0.091734242,0.091744337,358963541.666666687,3.913007576,8405000.000000000,8.015632629
fine,cholesky_v3_openmp,corr,1032,1,7,1,0.088570512,0.088584995,0.088592370,0.088629084,366368256.000000000,4.135782318,8520192.000000000,8.125488281
large,cholesky_v3_openmp,corr,1152,1,7,1,0.123863917,0.123901188,0.123898304,0.123926395,509607936.000000000,4.113018965,10616832.000000000,10.125000000
large,cholesky_v3_openmp,corr,1280,1,7,1,0.178651986,0.178686671,0.178692531,0.178796180,699050666.666666627,3.912158992,13107200.000000000,12.500000000
