sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
coarse,cholesky_v4_parallel_opt,corr,1,4,guided,1,7,1,0.000000450,0.000000458,0.000000465,0.000000506,0.333333333,0.000727802,8.000000000,0.000007629
coarse,cholesky_v4_parallel_opt,corr,2,4,guided,1,7,1,0.000000461,0.000000464,0.000000470,0.000000494,2.666666667,0.005747126,32.000000000,0.000030518
coarse,cholesky_v4_parallel_opt,corr,4,4,guided,1,7,1,0.000000487,0.000000493,0.000000500,0.000000531,21.333333333,0.043272481,128.000000000,0.000122070
coarse,cholesky_v4_parallel_opt,corr,8,4,guided,1,7,1,0.000000583,0.000000598,0.000000607,0.000000635,170.666666667,0.285395764,512.000000000,0.000488281
coarse,cholesky_v4_parallel_opt,corr,10,4,guided,1,7,1,0.000000673,0.000000686,0.000000687,0.000000713,333.333333333,0.485908649,800.000000000,0.000762939
coarse,cholesky_v4_parallel_opt,corr,16,4,guided,1,7,1,0.000001138,0.000001175,0.000001181,0.000001265,1365.333333333,1.161985816,2048.000000000,0.001953125
coarse,cholesky_v4_parallel_opt,corr,32,4,guided,1,7,1,0.000005367,0.000005391,0.000005419,0.000005542,10922.666666667,2.026092871,8192.000000000,0.007812500
coarse,cholesky_v4_parallel_opt,corr,64,4,guided,1,7,1,0.000027218,0.000027232,0.000027257,0.000027346,87381.333333333,3.208773991,32768.000000000,0.031250000
coarse,cholesky_v4_parallel_opt,corr,100,4,guided,1,7,1,0.000087190,0.000090406,0.000089846,0.000092141,333333.333333333,3.687070917,80000.000000000,0.076293945
coarse,cholesky_v4_parallel_opt,corr,124,4,guided,1,7,1,0.000124584,0.000131086,0.000130250,0.000133379,635541.333333333,4.848277721,123008.000000000,0.117309570
coarse,cholesky_v4_parallel_opt,corr,127,4,guided,1,7,1,0.000140956,0.000142167,0.000142709,0.000146633,682794.333333333,4.802762479,129032.000000000,0.123054504
coarse,cholesky_v4_parallel_opt,corr,128,4,guided,1,7,1,0.000145309,0.000147315,0.000146842,0.000148418,699050.666666667,4.745278259,131072.000000000,0.125000000
coarse,cholesky_v4_parallel_opt,corr,129,4,guided,1,7,1,0.000151751,0.000154606,0.000159916,0.000195090,715563.000000000,4.628300325,133128.000000000,0.126960754
coarse,cholesky_v4_parallel_opt,corr,255,4,guided,1,7,1,0.000702545,0.000710339,0.000715106,0.000743033,5527125.000000000,7.780967960,520200.000000000,0.496101379
coarse,cholesky_v4_parallel_opt,corr,256,4,guided,1,7,1,0.000762850,0.000781112,0.000779057,0.000794366,5592405.333333333,7.159543488,524288.000000000,0.500000000
coarse,cholesky_v4_parallel_opt,corr,257,4,guided,1,7,1,0.000691549,0.000696513,0.000696635,0.000702620,5658197.666666667,8.123606690,528392.000000000,0.503913879
coarse,cholesky_v4_parallel_opt,corr,511,4,guided,1,7,1,0.003521769,0.003540314,0.003542956,0.003569403,44477610.333333336,12.563182343,2088968.000000000,1.992195129
coarse,cholesky_v4_parallel_opt,corr,512,4,guided,1,7,1,0.003719326,0.003737766,0.003736047,0.003757875,44739242.666666664,11.969514054,2097152.000000000,2.000000000
coarse,cholesky_v4_parallel_opt,corr,513,4,guided,1,7,1,0.003684546,0.003695141,0.003701861,0.003730443,45001899.000000000,12.178668960,2105352.000000000,2.007820129
coarse,cholesky_v4_parallel_opt,corr,1000,4,guided,1,7,1,0.017203690,0.017236725,0.017231696,0.017286351,333333333.333333313,19.338553776,8000000.000000000,7.629394531
coarse,cholesky_v4_parallel_opt,corr,1024,4,guided,1,7,1,0.021394018,0.021441995,0.021436579,0.021483629,357913941.333333313,16.692194049,8388608.000000000,8.000000000
fine,cholesky_v4_parallel_opt,corr,992,4,guided,1,7,1,0.017126307,0.017167702,0.017167680,0.017210533,325397162.666666687,18.954031394,7872512.000000000,7.507812500
fine,cholesky_v4_parallel_opt,corr,1000,4,guided,1,7,1,0.017199424,0.017243071,0.017232404,0.017251555,333333333.333333313,19.331436571,8000000.000000000,7.629394531
fine,cholesky_v4_parallel_opt,corr,1008,4,guided,1,7,1,0.017296595,0.017318531,0.017317163,0.017347135,341397504.000000000,19.712844236,8128512.000000000,7.751953125
fine,cholesky_v4_parallel_opt,corr,1013,4,guided,1,7,1,0.017294826,0.017327969,0.017322331,0.017339323,346503065.666666687,19.996750090,8209352.000000000,7.829048157
fine,cholesky_v4_parallel_opt,corr,1023,4,guided,1,7,1,0.020580702,0.020628668,0.020644819,0.020732185,356866389.000000000,17.299536209,8372232.000000000,7.984382629
fine,cholesky_v4_parallel_opt,corr,1024,4,guided,1,7,1,0.021300500,0.021399863,0.021381659,0.021431776,357913941.333333313,16.725057601,8388608.000000000,8.000000000
fine,cholesky_v4_parallel_opt,corr,1025,4,guided,1,7,1,0.021362588,0.021418332,0.021414324,0.021478249,358963541.666666687,16.759640371,8405000.000000000,8.015632629
fine,cholesky_v4_parallel_opt,corr,1032,4,guided,1,7,1,0.018813613,0.018818812,0.018826081,0.018850767,366368256.000000000,19.468192572,8520192.000000000,8.125488281
large,cholesky_v4_parallel_opt,corr,1152,4,guided,1,7,1,0.026316385,0.026397371,0.026399348,0.026469367,509607936.000000000,19.305253391,10616832.000000000,10.125000000
large,cholesky_v4_parallel_opt,corr,1280,4,guided,1,7,1,0.037977590,0.038191420,0.038152157,0.038247966,699050666.666666627,18.303866855,13107200.000000000,12.500000000
large,cholesky_v4_parallel_opt,corr,1536,4,guided,1,7,1,0.065123785,0.065226215,0.065216499,0.065291095,1207959552.000000000,18.519540832,18874368.000000000,18.000000000
large,cholesky_v4_parallel_opt,corr,1792,4,guided,1,7,1,0.097845074,0.098025233,0.098005428,0.098155879,1918195029.333333254,19.568380208,25690112.000000000,24.500000000
large,cholesky_v4_parallel_opt,corr,2048,4,guided,1,7,1,0.148348882,0.148536810,0.148559336,0.148703694,2863311530.666666508,19.276780824,33554432.000000000,32.000000000
large,cholesky_v4_parallel_opt,corr,2304,4,guided,1,7,1,0.198710717,0.198818660,0.198935014,0.199397945,4076863488.000000000,20.505436904,42467328.000000000,40.500000000
