n,threads,median_seconds,median_gflops,speedup,efficiency,karp_flatt_serial_fraction
256,1,0.001503,3.7216,1.000000,1.000000,--
256,2,0.001418,3.9451,1.060075,0.530037,0.886659
256,4,0.001168,4.7864,1.286126,0.321531,0.703372
256,6,0.001141,4.9019,1.317155,0.219526,0.711054
256,8,0.001085,5.1543,1.384980,0.173122,0.682323
256,10,0.001082,5.1677,1.388585,0.138858,0.689064
256,12,0.001091,5.1252,1.377179,0.114765,0.701224
256,14,0.001103,5.0695,1.362205,0.097300,0.713650
256,16,0.001085,5.1565,1.385586,0.086599,0.703164
256,18,0.001103,5.0691,1.362101,0.075672,0.718522
256,20,0.001106,5.0566,1.358740,0.067937,0.722080
256,24,0.001104,5.0640,1.360711,0.056696,0.723384
256,28,0.001111,5.0319,1.352092,0.048289,0.729950
256,32,0.001151,4.8576,1.305267,0.040790,0.758582
256,64,0.001695,3.2997,0.886641,0.013854,1.129881
1024,1,0.092934,3.8513,1.000000,1.000000,--
1024,2,0.070919,5.0468,1.310416,0.655208,0.526233
1024,4,0.043862,8.1599,2.118756,0.529689,0.295967
1024,6,0.033293,10.7505,2.791411,0.465235,0.229890
1024,8,0.027132,13.1916,3.425236,0.428154,0.190801
1024,10,0.024268,14.7486,3.829533,0.382953,0.179032
1024,12,0.022137,16.1678,4.198022,0.349835,0.168954
1024,14,0.020846,17.1697,4.458160,0.318440,0.164639
1024,16,0.019733,18.1383,4.709669,0.294354,0.159818
1024,18,0.019645,18.2193,4.730710,0.262817,0.164996
1024,20,0.019208,18.6334,4.838235,0.241912,0.164934
1024,24,0.019104,18.7352,4.864652,0.202694,0.171024
1024,28,0.019176,18.6646,4.846331,0.173083,0.176947
1024,32,0.019900,17.9854,4.669969,0.145937,0.188784
1024,64,0.028014,12.7761,3.317370,0.051834,0.290355
2048,1,0.748347,3.8262,1.000000,1.000000,--
2048,2,0.564098,5.0759,1.326628,0.663314,0.507582
2048,4,0.335666,8.5302,2.229439,0.557360,0.264724
2048,6,0.242067,11.8286,3.091489,0.515248,0.188162
2048,8,0.187870,15.2409,3.983332,0.497917,0.144053
2048,10,0.159204,17.9852,4.700563,0.470056,0.125267
2048,12,0.139297,20.5555,5.372332,0.447694,0.112152
2048,14,0.123574,23.1709,6.055875,0.432563,0.100908
2048,16,0.112215,25.5164,6.668898,0.416806,0.093280
2048,18,0.105195,27.2191,7.113909,0.395217,0.090015
2048,20,0.100089,28.6075,7.476788,0.373839,0.088155
2048,24,0.089552,31.9738,8.356577,0.348191,0.081391
2048,28,0.085842,33.3555,8.717699,0.311346,0.081921
2048,32,0.084939,33.7102,8.810399,0.275325,0.084906
2048,64,0.109211,26.2182,6.852319,0.107067,0.132379
