n,threads,median_seconds,median_gflops,speedup,efficiency,karp_flatt_serial_fraction
256,1,0.001103,5.0700,1.000000,1.000000,--
256,2,0.000903,6.1965,1.222198,0.611099,0.636396
256,4,0.000812,6.8851,1.358026,0.339506,0.648484
256,6,0.000850,6.5817,1.298168,0.216361,0.724379
256,8,0.000804,6.9560,1.372012,0.171502,0.690122
256,10,0.000778,7.1915,1.418455,0.141845,0.672214
256,12,0.000769,7.2750,1.434918,0.119576,0.669350
256,14,0.000758,7.3793,1.455501,0.103964,0.662976
256,16,0.000757,7.3903,1.457655,0.091103,0.665102
256,18,0.000747,7.4853,1.476401,0.082022,0.658342
256,20,0.000753,7.4223,1.463976,0.073199,0.666391
256,24,0.000748,7.4781,1.474977,0.061457,0.663976
256,28,0.000736,7.6013,1.499274,0.053545,0.654656
256,32,0.000761,7.3482,1.449350,0.045292,0.679963
256,64,0.001298,4.3073,0.849564,0.013274,1.179886
1024,1,0.065843,5.4359,1.000000,1.000000,--
1024,2,0.036647,9.7665,1.796664,0.898332,0.113174
1024,4,0.021720,16.4786,3.031456,0.757864,0.106499
1024,6,0.016517,21.6693,3.986335,0.664389,0.101028
1024,8,0.014290,25.0460,4.607539,0.575942,0.105184
1024,10,0.013045,27.4374,5.047463,0.504746,0.109021
1024,12,0.012327,29.0339,5.341152,0.445096,0.113337
1024,14,0.011641,30.7451,5.655961,0.403997,0.113482
1024,16,0.011049,32.3938,5.959259,0.372454,0.112327
1024,18,0.010851,32.9844,6.067893,0.337105,0.115673
1024,20,0.010679,33.5163,6.165757,0.308288,0.118091
1024,24,0.010776,33.2154,6.110399,0.254600,0.127293
1024,28,0.010966,32.6386,6.004285,0.214439,0.135679
1024,32,0.011281,31.7280,5.836761,0.182399,0.144597
1024,64,0.014003,25.5599,4.702071,0.073470,0.200175
2048,1,0.522825,5.4766,1.000000,1.000000,--
2048,2,0.271680,10.5393,1.924413,0.962207,0.039278
2048,4,0.147000,19.4783,3.556628,0.889157,0.041554
2048,6,0.105858,27.0486,4.938919,0.823153,0.042968
2048,8,0.083343,34.3559,6.273187,0.784148,0.039324
2048,10,0.070763,40.4633,7.388367,0.738837,0.039275
2048,12,0.061982,46.1962,8.435170,0.702931,0.038420
2048,14,0.055723,51.3847,9.382552,0.670182,0.037856
2048,16,0.051425,55.6792,10.166712,0.635420,0.038251
2048,18,0.048506,59.0300,10.778545,0.598808,0.039411
2048,20,0.046612,61.4283,11.216467,0.560823,0.041215
2048,24,0.043301,66.1260,12.074230,0.503093,0.042944
2048,28,0.041721,68.6302,12.531495,0.447553,0.045717
2048,32,0.041079,69.7029,12.727350,0.397730,0.048847
2048,64,0.045879,62.4101,11.395738,0.178058,0.073272
